label,text
ham,"Шановний студенте, просимо ознайомитися з оновленим графіком консультацій кафедри та підтвердити участь у зустрічі до п’ятниці."
ham,Надсилаємо Вам протокол засідання кафедри та просимо подати зауваження до тексту документа до кінця робочого дня.
ham,"Повідомляємо, що захист курсових робіт перенесено на середу о 10:00 у зв’язку зі змінами в розкладі аудиторій."
ham,"Будь ласка, перевірте правильність внесених даних у відомість успішності та повідомте про можливі неточності."
ham,Надсилаємо оновлений варіант методичних рекомендацій до виконання дипломної роботи для подальшого опрацювання.
ham,Просимо Вас заповнити коротку форму щодо вибору теми кваліфікаційної роботи та надіслати відповідь електронною поштою.
ham,"Нагадуємо, що завтра відбудеться консультація з науковим керівником щодо структури другого розділу дипломної роботи."
ham,"До листа додається список студентів, які мають подати індивідуальний план роботи на поточний семестр."
ham,Повідомляємо про зміну часу проведення засідання студентського наукового гуртка на 14:30 у п’ятницю.
ham,"Просимо Вас ознайомитися з проєктом наказу та підтвердити коректність персональних даних, зазначених у документі."
ham,Надсилаємо Вам довідку про проходження практики в електронному вигляді для попередньої перевірки.
ham,"Шановні колеги, просимо підготувати матеріали до щотижневої наради та надіслати їх секретарю кафедри до 16:00."
ham,"Інформуємо, що доступ до навчальної платформи відновлено, і Ви можете завантажити необхідні матеріали до курсу."
ham,"Будь ласка, підтвердьте участь у вебінарі з академічної доброчесності, який відбудеться наступного понеділка."
ham,Надсилаємо для ознайомлення зміни до навчального плану та просимо врахувати їх при формуванні індивідуальної траєкторії.
ham,"Повідомляємо, що заяву на поселення до гуртожитку потрібно подати в деканат до 25 серпня включно."
ham,Просимо звернути увагу на оновлений порядок оформлення звітів з переддипломної практики та терміни подання.
ham,Надсилаємо службову записку щодо організації підсумкового контролю та графік чергувань викладачів.
ham,"Будь ласка, надішліть виправлений титульний аркуш пояснювальної записки згідно з новими вимогами кафедри."
ham,"Повідомляємо, що сьогодні бібліотека працює до 17:00, а видача навчальної літератури здійснюється без змін."
ham,"Шановний пане Іваненко, надсилаємо Вам на погодження програму виробничої практики студентів групи КН-41."
ham,"Просимо Вас перевірити вкладений договір та повідомити, чи можна передавати документ на підпис керівництву."
ham,Інформуємо про необхідність оновити контактні дані в особовій справі до кінця поточного місяця.
ham,"Надсилаємо запрошення на засідання робочої групи з модернізації освітньої програми, яке відбудеться онлайн."
ham,"Будь ласка, перегляньте приклад оформлення списку використаних джерел і внесіть відповідні правки у свою роботу."
ham,"Повідомляємо, що консультація з дисципліни відбудеться в дистанційному форматі через службову платформу університету."
ham,"Просимо уточнити, чи зможете Ви бути присутніми на засіданні екзаменаційної комісії у вказаний час."
ham,Надсилаємо шаблон анотації до кваліфікаційної роботи українською та англійською мовами для заповнення.
ham,"Шановні здобувачі, нагадуємо про необхідність завершити реєстрацію на вибіркові дисципліни до неділі."
ham,"До листа додається оновлений кошторис заходу та перелік витрат, погоджених бухгалтерією факультету."
ham,"Будь ласка, повідомте про отримання сертифіката підвищення кваліфікації та збережіть копію документа."
ham,Надсилаємо результати попередньої перевірки дипломної роботи на відповідність технічним вимогам кафедри.
