label,text
ham,"Іди до jurong point, божевільний.. Доступно лише в bugis n great world la e buffet... Cine there got amore wat..."
ham,"Добре, Лар... Жартуєш, дружина ти..."
spam,"Безкоштовний вхід на 2 тижневі змагання, щоб виграти фінал Кубка Англії 21 травня 2005 р. Надішліть повідомлення з FA на номер 87121, щоб отримати запитання щодо участі (стандартна швидкість текстового повідомлення)."
ham,Ти скажи так рано... Ти вже тоді скажи...
ham,"Ні, я не думаю, що він ходить до нас, хоча він живе десь тут"
spam,"FreeMsg Привіт, любий, минуло 3 тижні, а жодної відповіді! Я хотів би трохи повеселитися, ти все ще готовий? Tb добре! XxX стандартних сум для надсилання, £1,50 для rcv"
ham,Навіть мій брат не любить зі мною розмовляти. Вони ставляться до мене як до патенту на допоміжні засоби.
ham,"Відповідно до вашого запиту «Melle Melle (Oru Minnaminunginte Nurungu Vettam)» було встановлено як мелодію абонента для всіх абонентів. Натисніть *9, щоб скопіювати Callertune ваших друзів"
spam,"ПЕРЕМОЖЕЦЬ!! Як цінного клієнта мережі, вас було обрано для отримання призової винагороди в розмірі £900! Звертатись за телефоном 09061701461. Код претензії KL341. Діє лише 12 годин."
spam,У вас був мобільний 11 місяців або більше? Ви маєте право безкоштовно оновити кольорові телефони з камерою до найновішої версії! Телефонуйте в The Mobile Update Co БЕЗКОШТОВНО за номером 08002986030
ham,"Я скоро буду вдома, і я не хочу більше говорити про це сьогодні ввечері, к? Я сьогодні досить наплакався."
spam,"ШІСТЬ шансів виграти КЕШ! Від 100 до 20 000 фунтів стерлінгів> CSH11 і надішліть на номер 87575. Вартість 150 пенсів/день, 6 днів, 16+ TsandCs застосовуються Відповісти HL 4 інформація"
spam,ТЕРМІНОВО! Ви виграли 1 тиждень БЕЗКОШТОВНОГО членства в нашому призовому джекпоті вартістю £100 000! Текстове повідомлення: CLAIM на номер: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,"Я довго шукав правильні слова, щоб подякувати тобі за цей передих. Я обіцяю, що не сприйму вашу допомогу як належне і виконаю свою обіцянку. Ти завжди був чудовим і благословенням."
ham,У МЕНЕ ПОБАЧАННЯ В НЕДІЛЮ З ВІЛЛОМ!!
